customer_id,recency,frequency,monetary,avg_order_val,n_items,tenure_days,return_rate,satisfaction_flag,dependency_score,promo_orders,n_orders,value_tier,loyal_defA,loyal_defB,R_score,F_score,M_score,RFM_score,RFM_total,segment
12393,72,4,1582.6000000000001,395.65,47,333,0.0,1,0.0,0.0,4,High,1,1,3,4,4,344,11,Loyal Customers
12394,64,2,1080.48,540.24,25,217,0.0,1,0.0,0.0,2,Mid,0,1,3,2,4,324,9,Potential Loyalists
12395,19,12,2682.63,223.5525,90,371,0.0023786869647943014,1,0.4167,5.0,12,High,1,1,4,5,5,455,14,Champions
12397,36,2,2214.9,1107.4499999999998,109,135,0.0,1,0.5,1.0,2,High,0,1,3,2,5,325,10,Potential Loyalists
12398,46,1,1435.66,1435.66,84,46,0.0,0,0.0,0.0,1,High,1,0,3,1,4,314,8,Potential Loyalists
12399,119,4,1033.65,258.4125,46,262,0.0,1,0.0,0.0,4,Mid,0,0,2,4,4,244,10,Loyal Customers
12401,303,1,69.3,69.3,4,303,0.0,0,0.0,0.0,1,Low,0,0,1,1,1,111,3,Lost
12402,323,1,195.6,195.6,10,323,0.0,0,0.0,0.0,1,Low,0,0,1,1,1,111,3,Lost
12403,50,1,391.7,391.7,4,50,0.0,0,0.0,0.0,1,Mid,0,0,3,1,2,312,6,Lost
12405,149,1,1390.39,1390.39,53,149,0.0,0,0.0,0.0,1,High,1,0,2,1,4,214,7,Lost
12406,22,2,3415.3,1707.65,92,184,0.00492610837438154,0,0.5,1.0,2,High,0,1,4,2,5,425,11,Potential Loyalists
12407,50,5,1507.1200000000001,301.424,56,264,0.0,1,0.0,0.0,5,High,1,1,3,4,4,344,11,Loyal Customers
12408,33,5,2618.55,523.71,80,260,0.006428571428566837,0,0.2,1.0,5,High,1,1,4,4,5,445,13,Champions
12409,79,3,11072.67,3690.89,91,183,0.0014391077531927614,1,0.0,0.0,3,High,1,1,2,3,5,235,10,Loyal Customers
12410,309,2,533.33,266.66499999999996,25,309,0.009569377990384835,0,0.0,0.0,2,Mid,0,0,1,2,3,123,6,Need Attention
12412,75,3,1142.88,380.96000000000004,42,169,0.0,1,0.0,0.0,3,High,1,1,2,3,4,234,9,Loyal Customers
12413,67,3,686.1,228.70000000000002,28,337,0.0035335689045811534,1,0.0,0.0,3,Mid,0,1,3,3,3,333,9,Loyal Customers
12414,217,3,442.41,147.47,15,310,0.0,1,0.0,0.0,3,Mid,0,0,1,3,2,132,6,Need Attention
12415,24,20,124564.53,6228.2265,443,338,0.005488431876606613,0,0.2,4.0,20,High,1,1,4,5,5,455,14,Champions
12417,3,9,3226.1,358.4555555555555,157,358,0.008441558441552961,0,0.2222,2.0,9,High,1,1,5,5,5,555,15,Champions
12418,113,1,668.58,668.58,34,113,0.0,0,0.0,0.0,1,Mid,0,0,2,1,3,213,6,Lost
12420,64,1,600.39,600.39,29,64,0.0,0,0.0,0.0,1,Mid,0,0,3,1,3,313,7,Potential Loyalists
12421,16,4,639.04,159.76,31,319,0.0,1,0.25,1.0,4,Mid,0,1,4,4,3,443,11,Champions
12422,96,3,683.5600000000001,227.85333333333332,38,325,0.0,1,0.0,0.0,3,Mid,0,0,2,3,3,233,8,Loyal Customers
12423,1,8,1634.31,204.28875,96,354,0.00898203592813699,0,0.25,2.0,8,High,1,1,5,5,4,554,14,Champions
12424,163,2,1760.96,880.4800000000001,30,163,0.0,1,0.0,0.0,2,High,1,0,2,2,4,224,8,Need Attention
12425,78,1,777.2,777.2,36,78,0.0,0,0.0,0.0,1,Mid,0,0,2,1,3,213,6,Lost
12426,195,1,510.73,510.73,29,195,0.0,0,0.0,0.0,1,Mid,0,0,1,1,3,113,5,Lost
12427,22,3,699.8,233.26666666666665,25,372,0.36087484811620796,0,0.6667,2.0,3,Mid,0,1,4,3,3,433,10,Loyal Customers
12428,26,8,6405.26,800.6575,256,284,0.00903699519909375,0,0.125,1.0,8,High,1,1,4,5,5,455,14,Champions
12429,9,4,3388.4,847.1,81,366,0.0,1,0.5,2.0,4,High,0,1,5,4,5,545,14,Champions
12430,43,1,216.4,216.4,10,43,0.0,0,0.0,0.0,1,Low,0,0,3,1,1,311,5,Lost
12431,36,15,6382.45,425.49666666666667,162,374,0.01695489996608445,0,0.2,3.0,15,High,1,1,3,5,5,355,13,Loyal Customers
12432,43,4,4359.32,1089.83,106,172,0.0,1,0.0,0.0,4,High,1,1,3,4,5,345,12,Loyal Customers
12433,1,7,13375.87,1910.8385714285716,219,373,0.0,1,0.7143,5.0,7,High,0,1,5,5,5,555,15,Champions
12434,85,2,806.14,403.07,46,260,0.05060240963843229,0,0.0,0.0,2,Mid,0,1,2,2,3,223,7,Need Attention
12435,80,2,7829.89,3914.945,31,268,0.0,1,0.0,0.0,2,High,1,1,2,2,5,225,9,Need Attention
12436,100,1,429.01000000000005,429.01000000000005,15,100,0.0,0,0.0,0.0,1,Mid,0,0,2,1,2,212,5,Lost
12437,2,18,4447.41,247.07833333333332,117,331,0.0017247326664361073,1,0.2778,5.0,18,High,1,1,5,5,5,555,15,Champions
12438,14,2,2466.85,1233.425,83,140,0.0,1,0.5,1.0,2,High,0,1,5,2,5,525,12,Potential Loyalists
12441,367,1,155.55,155.55,10,367,0.0,0,1.0,1.0,1,Low,0,0,1,1,1,111,3,Lost
12442,3,1,144.06,144.06,11,3,0.0,0,1.0,1.0,1,Low,0,0,5,1,1,511,7,New Customers
12444,21,5,4085.46,817.092,137,171,0.0,1,0.2,1.0,5,High,1,1,4,4,5,445,13,Champions
12445,22,1,77.4,77.4,3,22,0.0,0,1.0,1.0,1,Low,0,0,4,1,1,411,6,New Customers
12446,58,1,1002.3100000000001,1002.3100000000001,57,58,0.0,0,0.0,0.0,1,Mid,0,0,3,1,4,314,8,Potential Loyalists
12447,243,1,431.49,431.49,25,243,0.0,0,0.0,0.0,1,Mid,0,0,1,1,2,112,4,Lost
12448,44,1,365.45,365.45,21,44,0.0,0,0.0,0.0,1,Low,0,0,3,1,2,312,6,Lost
12449,22,4,3596.29,899.0725,117,187,0.0,1,0.25,1.0,4,High,1,1,4,4,5,445,13,Champions
12450,156,2,197.88,98.94,7,173,0.0,1,0.0,0.0,2,Low,0,0,2,2,1,221,5,Lost
12451,11,5,8995.52,1799.104,264,325,0.01792650134448492,0,0.4,2.0,5,High,1,1,5,4,5,545,14,Champions
12452,17,1,348.57,348.57,20,17,0.0,0,1.0,1.0,1,Low,0,0,4,1,2,412,7,New Customers
12453,134,1,707.09,707.09,43,134,0.0,0,0.0,0.0,1,Mid,0,0,2,1,3,213,6,Lost
12454,56,1,3528.34,3528.34,15,56,0.4999999999997515,0,0.0,0.0,1,High,1,0,3,1,5,315,9,Potential Loyalists
12455,73,5,2339.86,467.97200000000004,84,297,0.0,1,0.0,0.0,5,High,1,1,2,4,5,245,11,Loyal Customers
12456,44,3,2581.04,860.3466666666667,104,255,0.010397553516813212,0,0.0,0.0,3,High,1,1,3,3,5,335,11,Loyal Customers
12457,66,6,2043.23,340.53833333333336,52,239,0.1514227642274884,0,0.0,0.0,6,High,1,1,3,5,4,354,12,Loyal Customers
12458,71,2,787.4,393.70000000000005,34,285,0.0,1,0.0,0.0,2,Mid,0,1,3,2,3,323,8,Potential Loyalists
12461,155,1,626.88,626.88,34,155,0.0,0,0.0,0.0,1,Mid,0,0,2,1,3,213,6,Lost
12462,19,2,937.59,468.79499999999996,50,303,0.0400728597449179,0,0.5,1.0,2,Mid,0,1,4,2,4,424,10,Potential Loyalists
12463,53,4,1200.78,300.195,64,242,0.021656050955386426,0,0.0,0.0,4,High,1,1,3,4,4,344,11,Loyal Customers
12464,10,8,957.05,119.63125,5,309,0.0,1,0.25,2.0,8,Mid,0,1,5,5,4,554,14,Champions
12465,17,2,682.1899999999999,341.095,45,169,0.008350730688917849,0,0.5,1.0,2,Mid,0,1,4,2,3,423,9,Potential Loyalists
12468,188,2,657.54,328.77000000000004,35,316,0.0054945054944904,0,0.0,0.0,2,Mid,0,0,1,2,3,123,6,Need Attention
12471,2,27,17424.05,645.3351851851852,148,365,0.029461077844307848,0,0.3704,10.0,27,High,1,1,5,5,5,555,15,Champions
12472,32,7,6068.11,866.8728571428572,218,369,0.030131826741989137,0,0.2857,2.0,7,High,1,1,4,5,5,455,14,Champions
12473,54,3,2596.23,865.41,138,192,0.028514056224888146,0,0.0,0.0,3,High,1,1,3,3,5,335,11,Loyal Customers
12474,17,18,6745.79,374.7661111111111,252,330,0.016956077630231468,0,0.1111,2.0,18,High,1,1,4,5,5,455,14,Champions
12475,54,1,669.38,669.38,35,54,0.0,0,0.0,0.0,1,Mid,0,0,3,1,3,313,7,Potential Loyalists
12476,16,11,5898.42,536.22,176,361,0.029242174629312504,0,0.2727,3.0,11,High,1,1,4,5,5,455,14,Champions
12477,23,6,13219.74,2203.29,191,302,0.008952794357024159,0,0.1667,1.0,6,High,1,1,4,5,5,455,14,Champions
12478,4,1,545.99,545.99,35,4,0.0,0,1.0,1.0,1,Mid,0,0,5,1,3,513,9,Potential Loyalists
12479,11,1,473.2,473.2,30,11,0.08173076923057276,0,1.0,1.0,1,Mid,0,0,5,1,2,512,8,New Customers
12480,28,4,2885.63,721.4075,128,336,0.0,1,0.25,1.0,4,High,1,1,4,4,5,445,13,Champions
12481,23,10,5020.32,502.03200000000004,149,366,0.004260499087034613,1,0.3,3.0,10,High,1,1,4,5,5,455,14,Champions
12483,17,8,1910.98,238.8725,45,339,0.009057971014484549,0,0.125,1.0,8,High,1,1,4,5,4,454,13,Champions
12484,35,4,3953.72,988.4300000000001,255,336,0.0027573529411752036,1,0.25,1.0,4,High,1,1,3,4,5,345,12,Loyal Customers
12488,10,3,1244.66,414.8866666666667,45,76,0.0,1,0.3333,1.0,3,High,1,1,5,3,4,534,12,Loyal Customers
12489,336,1,298.93,298.93,14,336,0.0,0,0.0,0.0,1,Low,0,0,1,1,2,112,4,Lost
12490,5,10,4859.93,485.99300000000005,130,330,0.0,1,0.4,4.0,10,High,1,1,5,5,5,555,15,Champions
12491,39,1,424.40000000000003,424.40000000000003,24,39,0.0,0,1.0,1.0,1,Mid,0,0,3,1,2,312,6,Lost
12492,63,2,227.21,113.60500000000002,18,105,0.0,1,0.0,0.0,2,Low,0,1,3,2,1,321,6,Lost
12493,166,2,415.74,207.87,19,197,0.004830917874372798,0,0.0,0.0,2,Mid,0,0,2,2,2,222,6,Need Attention
12494,16,7,1084.1000000000001,154.8714285714286,62,366,0.02240896358540279,0,0.4286,3.0,7,Mid,0,1,4,5,4,454,13,Champions
12497,82,1,953.1,953.1,13,82,0.0,0,0.0,0.0,1,Mid,0,0,2,1,4,214,7,Lost
12498,21,3,349.70000000000005,116.56666666666668,20,58,0.0,1,0.6667,2.0,3,Low,0,1,4,3,2,432,9,Promising
12500,23,11,4059.82,369.07454545454544,33,334,0.002244668911334738,1,0.0909,1.0,11,High,1,1,4,5,5,455,14,Champions
12501,337,1,2025.39,2025.39,148,337,0.0332244008714416,0,0.0,0.0,1,High,1,0,1,1,4,114,6,Lost
12502,96,5,2995.87,599.174,101,310,0.0,1,0.0,0.0,5,High,1,0,2,4,5,245,11,Loyal Customers
12504,18,2,428.04999999999995,214.02499999999998,5,30,0.309523809521353,0,1.0,2.0,2,Mid,0,1,4,2,2,422,8,New Customers
12506,233,1,73.5,73.5,23,233,0.0,0,0.0,0.0,1,Low,0,0,1,1,1,111,3,Lost
12507,134,3,1052.81,350.93666666666667,18,299,0.012276785714272013,0,0.0,0.0,3,Mid,0,0,2,3,4,234,9,Loyal Customers
12508,26,2,398.27,199.135,57,29,0.0,1,1.0,2.0,2,Mid,0,1,4,2,2,422,8,New Customers
12509,284,1,158.5,158.5,6,284,0.0,0,0.0,0.0,1,Low,0,0,1,1,1,111,3,Lost
12510,143,2,814.5699999999999,407.28499999999997,28,325,0.0,1,0.0,0.0,2,Mid,0,0,2,2,3,223,7,Need Attention
12512,66,2,138.03,69.015,31,66,0.0,1,0.0,0.0,2,Low,0,1,3,2,1,321,6,Lost
12513,113,1,558.29,558.29,34,113,0.012903225806423864,0,0.0,0.0,1,Mid,0,0,2,1,3,213,6,Lost
12514,267,1,1017.68,1017.68,51,267,0.0,0,0.0,0.0,1,Mid,0,0,1,1,4,114,6,Lost
12515,353,1,278.7,278.7,15,353,0.0,0,1.0,1.0,1,Low,0,0,1,1,2,112,4,Lost
12516,78,2,1186.06,593.03,19,181,0.0,1,0.0,0.0,2,High,1,1,2,2,4,224,8,Need Attention
12517,28,4,2322.84,580.71,231,190,0.01661849710981458,0,0.25,1.0,4,High,1,1,4,4,5,445,13,Champions
12518,1,5,1840.89,368.178,83,110,0.0,1,0.4,2.0,5,High,1,1,5,4,4,544,13,Champions
12519,64,1,286.84,286.84,16,64,0.0,0,0.0,0.0,1,Low,0,0,3,1,2,312,6,Lost
12520,79,5,2346.2599999999998,469.25200000000007,120,274,0.00628491620111293,0,0.0,0.0,5,High,1,1,2,4,5,245,11,Loyal Customers
12521,143,1,545.68,545.68,37,143,0.0,0,0.0,0.0,1,Mid,0,0,2,1,3,213,6,Lost
12522,39,2,156.72,78.36,10,51,0.0,1,0.0,0.0,2,Low,0,1,3,2,1,321,6,Lost
12523,19,11,1699.77,154.52454545454546,83,332,0.004629629629624272,1,0.0909,1.0,11,High,1,1,4,5,4,454,13,Champions
12524,9,8,3945.72,493.215,112,334,0.0,1,0.125,1.0,8,High,1,1,5,5,5,555,15,Champions
12526,1,3,1172.66,390.8866666666667,63,94,0.0,1,0.3333,1.0,3,High,1,1,5,3,4,534,12,Loyal Customers
12527,82,3,330.71000000000004,110.23666666666668,17,326,0.0,1,0.0,0.0,3,Low,0,1,2,3,2,232,7,Need Attention
12528,9,6,1645.48,274.24666666666667,49,313,0.008042895442348468,0,0.1667,1.0,6,High,1,1,5,5,4,554,14,Champions
12530,60,4,1500.28,375.07000000000005,50,337,0.014176663031609403,0,0.0,0.0,4,High,1,1,3,4,4,344,11,Loyal Customers
12531,15,1,125.22,125.22,17,15,0.0,0,1.0,1.0,1,Low,0,0,4,1,1,411,6,New Customers
12532,30,1,313.83000000000004,313.83000000000004,15,30,0.0,0,1.0,1.0,1,Low,0,0,4,1,2,412,7,New Customers
12534,131,1,981.18,981.18,62,131,0.0,0,0.0,0.0,1,Mid,0,0,2,1,4,214,7,Lost
12535,92,2,716.35,358.17499999999995,28,187,0.0,1,0.0,0.0,2,Mid,0,0,2,2,3,223,7,Need Attention
12536,59,1,4279.71,4279.71,259,59,0.044027303754251186,0,0.0,0.0,1,High,1,0,3,1,5,315,9,Potential Loyalists
12538,29,1,363.95,363.95,21,29,0.0,0,1.0,1.0,1,Low,0,0,4,1,2,412,7,New Customers
12539,22,4,5568.35,1392.0875,157,334,0.0,1,0.25,1.0,4,High,1,1,4,4,5,445,13,Champions
12540,20,17,11580.24,681.1905882352941,276,362,0.0012070006035001196,1,0.1765,3.0,17,High,1,1,4,5,5,455,14,Champions
12541,30,3,841.18,280.3933333333334,45,281,0.0,1,0.3333,1.0,3,Mid,0,1,4,3,3,433,10,Loyal Customers
12544,36,1,316.7,316.7,18,36,0.028985507246166775,0,1.0,1.0,1,Low,0,0,3,1,2,312,6,Lost
12545,75,2,832.39,416.195,41,260,0.0,1,0.0,0.0,2,Mid,0,1,2,2,3,223,7,Need Attention
12546,47,2,1021.5,510.75,58,78,0.02484472049685583,0,0.0,0.0,2,Mid,0,1,3,2,4,324,9,Potential Loyalists
12547,198,2,151.79999999999998,75.9,6,281,0.0,1,0.0,0.0,2,Low,0,0,1,2,1,121,4,Lost
12548,166,1,67.19999999999999,67.19999999999999,4,166,0.0,0,0.0,0.0,1,Low,0,0,2,1,1,211,4,Lost
12550,79,1,824.83,824.83,56,79,0.0,0,0.0,0.0,1,Mid,0,0,2,1,3,213,6,Lost
12551,358,1,168.0,168.0,10,358,0.0,0,1.0,1.0,1,Low,0,0,1,1,1,111,3,Lost
12552,40,1,317.82,317.82,19,40,0.0,0,0.0,0.0,1,Low,0,0,3,1,2,312,6,Lost
12553,8,10,3278.28,327.828,94,330,0.02067574382248075,0,0.2,2.0,10,High,1,1,5,5,5,555,15,Champions
12556,50,2,603.71,301.855,100,151,0.0,1,0.0,0.0,2,Mid,0,1,3,2,3,323,8,Potential Loyalists
12557,16,5,11990.960000000001,2398.192,15,372,0.0,1,0.4,2.0,5,High,1,1,4,4,5,445,13,Champions
12558,8,1,269.96,269.96,11,8,0.4999999999987245,0,1.0,1.0,1,Low,0,0,5,1,2,512,8,New Customers
12559,311,2,525.71,262.855,20,320,0.007067137809162307,0,0.0,0.0,2,Mid,0,0,1,2,3,123,6,Need Attention
12560,5,2,1918.01,959.005,90,143,0.0283185840707714,0,0.5,1.0,2,High,0,1,5,2,4,524,11,Potential Loyalists
12561,303,1,238.85,238.85,16,303,0.0,0,0.0,0.0,1,Low,0,0,1,1,1,111,3,Lost
12562,8,7,3385.7400000000002,483.6771428571428,98,199,0.0,1,0.2857,2.0,7,High,1,1,5,5,5,555,15,Champions
12564,261,1,402.9,402.9,20,261,0.0,0,0.0,0.0,1,Mid,0,0,1,1,2,112,4,Lost
12565,289,1,145.92,145.92,9,289,0.05882352941107266,0,0.0,0.0,1,Low,0,0,1,1,1,111,3,Lost
12566,86,1,297.65,297.65,18,86,0.0038022813688068356,0,0.0,0.0,1,Low,0,0,2,1,2,212,5,Lost
12567,23,10,8609.28,860.9280000000001,322,370,0.048246593701128375,0,0.3,3.0,10,High,1,1,4,5,5,455,14,Champions
12569,2,32,3152.69,98.5215625,91,252,0.003422703936107574,1,0.3437,11.0,32,High,1,1,5,5,5,555,15,Champions
12571,40,2,519.61,259.805,31,122,0.0,1,0.0,0.0,2,Mid,0,1,3,2,3,323,8,Potential Loyalists
12572,9,2,912.42,456.21000000000004,52,52,0.00446428571427575,1,0.5,1.0,2,Mid,0,1,5,2,3,523,10,Potential Loyalists
12573,227,1,160.54000000000002,160.54000000000002,26,227,0.0,0,0.0,0.0,1,Low,0,0,1,1,1,111,3,Lost
12574,316,1,182.45000000000002,182.45000000000002,10,316,0.0,0,0.0,0.0,1,Low,0,0,1,1,1,111,3,Lost
12576,36,5,1315.83,263.166,72,305,0.0030927835051514506,1,0.2,1.0,5,High,1,1,3,4,4,344,11,Loyal Customers
12577,35,3,653.85,217.94999999999996,136,359,0.012578616352174887,0,1.0,3.0,3,Mid,0,1,3,3,3,333,9,Loyal Customers
12578,21,2,2402.51,1201.255,110,330,0.020712510356238018,0,0.5,1.0,2,High,0,1,4,2,5,425,11,Potential Loyalists
12579,78,1,386.42,386.42,28,78,0.020833333333260998,0,0.0,0.0,1,Mid,0,0,2,1,2,212,5,Lost
12580,247,1,379.7,379.7,23,247,0.0,0,0.0,0.0,1,Low,0,0,1,1,2,112,4,Lost
12581,40,1,179.71,179.71,14,40,0.0,0,0.0,0.0,1,Low,0,0,3,1,1,311,5,Lost
12582,239,2,351.36,175.68,20,289,0.0,1,0.0,0.0,2,Low,0,0,1,2,2,122,5,Need Attention
12583,3,15,6705.38,447.0253333333333,114,374,0.009846396218981913,0,0.2667,4.0,15,High,1,1,5,5,5,555,15,Champions
12584,4,9,2254.15,250.4611111111111,43,280,0.1305263157891989,0,0.2222,2.0,9,High,1,1,5,5,5,555,15,Champions
12585,234,2,1824.1,912.05,76,351,0.0163043478260743,0,0.5,1.0,2,High,0,0,1,2,4,124,7,Need Attention
12586,17,1,196.94000000000003,196.94000000000003,11,17,0.024691358024386524,0,1.0,1.0,1,Low,0,0,4,1,1,411,6,New Customers
12587,8,1,104.0,104.0,3,8,0.0,0,1.0,1.0,1,Low,0,0,5,1,1,511,7,New Customers
12588,39,1,174.89999999999998,174.89999999999998,9,39,0.0,0,0.0,0.0,1,Low,0,0,3,1,1,311,5,Lost
12589,29,2,574.68,287.34000000000003,28,145,0.0,1,0.5,1.0,2,Mid,0,1,4,2,3,423,9,Potential Loyalists
12590,211,1,9341.26,9341.26,67,211,0.0009332711152587649,0,0.0,0.0,1,High,1,0,1,1,5,115,7,Lost
12591,317,1,368.85,368.85,25,317,0.0,0,0.0,0.0,1,Low,0,0,1,1,2,112,4,Lost
12592,92,2,401.6,200.8,10,213,0.0,1,0.0,0.0,2,Mid,0,0,2,2,2,222,6,Need Attention
12593,109,3,382.09999999999997,127.36666666666667,13,219,0.0,1,0.0,0.0,3,Mid,0,0,2,3,2,232,7,Need Attention
12594,38,9,3208.2200000000003,356.4688888888889,49,323,0.0,1,0.1111,1.0,9,High,1,1,3,5,5,355,13,Loyal Customers
12596,51,2,450.27,225.135,24,242,0.0,1,0.0,0.0,2,Mid,0,1,3,2,2,322,7,Promising
12597,19,4,3195.22,798.8050000000001,183,268,0.02165267344232362,0,0.25,1.0,4,High,1,1,4,4,5,445,13,Champions
12598,10,7,2807.08,401.01142857142855,83,285,0.012145748987848105,0,0.4286,3.0,7,High,1,1,5,5,5,555,15,Champions
12599,29,7,888.58,126.94000000000001,31,304,0.0,1,0.1429,1.0,7,Mid,0,1,4,5,3,453,12,Champions
12600,29,10,2311.04,231.10399999999998,31,371,0.0,1,0.3,3.0,10,High,1,1,4,5,5,455,14,Champions
12601,190,5,487.06,97.412,20,333,0.004149377593343779,1,0.0,0.0,5,Mid,0,0,1,4,3,143,8,At Risk
12602,59,1,153.12,153.12,12,59,0.0,0,0.0,0.0,1,Low,0,0,3,1,1,311,5,Lost
12603,22,1,613.1999999999999,613.1999999999999,1,22,0.0,0,1.0,1.0,1,Mid,0,0,4,1,3,413,8,Potential Loyalists
12604,79,2,236.18,118.09,14,262,0.0,1,0.0,0.0,2,Low,0,1,2,2,1,221,5,Lost
12607,60,1,1579.51,1579.51,101,60,0.49999999999979644,0,0.0,0.0,1,High,1,0,3,1,4,314,8,Potential Loyalists
12609,78,3,964.85,321.6166666666667,56,318,0.0,1,0.0,0.0,3,Mid,0,1,2,3,4,234,9,Loyal Customers
12610,23,4,1747.54,436.885,84,126,0.01981132075469829,0,0.25,1.0,4,High,1,1,4,4,4,444,12,Champions
12611,52,1,1193.32,1193.32,65,52,0.0,0,0.0,0.0,1,High,1,0,3,1,4,314,8,Potential Loyalists
12612,74,1,668.0400000000001,668.0400000000001,18,74,0.04059040590390926,0,0.0,0.0,1,Mid,0,0,2,1,3,213,6,Lost
12613,57,4,3092.38,773.095,123,262,0.02860548271750381,0,0.0,0.0,4,High,1,1,3,4,5,345,12,Loyal Customers
12614,278,1,315.6,315.6,20,278,0.0,0,0.0,0.0,1,Low,0,0,1,1,2,112,4,Lost
12615,2,4,2093.19,523.2975,81,168,0.0,1,0.5,2.0,4,High,0,1,5,4,5,545,14,Champions
12616,95,2,641.3,320.65,24,297,0.03780068728509347,0,0.0,0.0,2,Mid,0,0,2,2,3,223,7,Need Attention
12617,29,1,355.53,355.53,39,29,0.0,0,1.0,1.0,1,Low,0,0,4,1,2,412,7,New Customers
12618,22,1,137.31,137.31,10,22,0.0,0,1.0,1.0,1,Low,0,0,4,1,1,411,6,New Customers
